city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
Beira,25.05,-19.8436,34.8389,57,40,6.26,MZ,1657878561
Lüderitz,25.23,-26.6481,15.1594,28,41,4.71,NA,1657878563
Narsaq,15.12,60.9167,-46.05,54,86,0.7,GL,1657878565
Roseburg,15.33,43.2165,-123.3417,76,0,2.06,US,1657878567
Mahébourg,24.16,-20.4081,57.7,64,75,4.63,MU,1657878569
Okakarara,20.61,-20.5833,17.4333,21,0,6.98,NA,1657878571
Deming,25.94,32.2687,-107.7586,27,0,3.09,US,1657878573
Xining,15.29,36.6167,101.7667,96,100,1.11,CN,1657878576
St. George's,25.82,12.0564,-61.7485,94,75,2.06,GD,1657878580
Acaraú,24.83,-2.8856,-40.12,80,24,5.39,BR,1657878582
Sikasso,28.26,10.9167,-7.0,68,72,3.41,ML,1657878584
Homburg,22.49,49.3167,7.3333,39,20,3.09,DE,1657878586
Barrow,1.01,71.2906,-156.7887,86,100,4.12,US,1657878588
Faanui,24.85,-16.4833,-151.75,62,100,9.65,PF,1657878590
Lingyuan,27.87,41.24,119.4011,55,46,3.18,CN,1657878592
Necochea,10.52,-38.5473,-58.7368,98,100,3.03,AR,1657878442
Bakchar,17.21,57.0186,82.0711,67,99,1.49,RU,1657878597
Fort Nelson,14.77,58.8053,-122.7002,88,75,0.0,CA,1657878601
Kaitangata,3.87,-46.2817,169.8464,92,100,3.68,NZ,1657878603
Altay,24.71,47.8667,88.1167,20,1,4.53,CN,1657878605
Salalah,25.98,17.0151,54.0924,94,100,3.06,OM,1657878607
Manyana,22.0,-23.4,21.7167,16,0,5.38,BW,1657878609
Yumen,24.47,40.2833,97.2,30,97,0.93,CN,1657878612
Mangaratiba,17.48,-22.9597,-44.0406,74,75,4.22,BR,1657878614
Severo-Kuril'sk,13.29,50.6789,156.125,84,23,5.16,RU,1657878616
Vangaindrano,23.08,-23.35,47.6,63,0,2.19,MG,1657878618
Plettenberg Bay,16.94,-34.0527,23.3716,60,12,2.87,ZA,1657878620
Saint Anthony,21.94,45.0205,-93.218,82,75,7.72,US,1657878622
Suoyarvi,18.96,62.0833,32.35,55,100,2.97,RU,1657878626
Bambous Virieux,24.14,-20.3428,57.7575,64,75,4.63,MU,1657878628
San Quintín,18.18,30.4833,-115.95,91,5,3.85,MX,1657878630
Bathsheba,27.25,13.2167,-59.5167,91,40,10.8,BB,1657878632
Swift Current,18.45,50.2834,-107.8014,94,0,4.12,CA,1657878635
Beloha,26.77,-25.1667,45.05,27,0,3.5,MG,1657878637
Lata,28.37,40.1629,-8.3327,18,40,3.27,PT,1657878639
Kalat,22.01,29.0225,66.5916,65,68,5.45,PK,1657878641
Esim,25.62,4.8699,-2.2405,81,94,4.9,GH,1657878643
La Ronge,17.14,55.1001,-105.2842,67,40,3.09,CA,1657878645
Saint-François,25.69,46.4154,3.9054,50,0,2.57,FR,1657878647
Rocha,14.75,-34.4833,-54.3333,98,99,0.71,UY,1657878649
Bose,31.0,45.4612,8.0137,47,0,1.3,IT,1657878652
Haapiti,21.51,-17.5667,-149.8667,64,31,10.62,PF,1657878654
Castelo do Piauí,22.44,-5.3222,-41.5525,61,5,1.94,BR,1657878656
Jamestown,12.08,42.097,-79.2353,88,0,1.54,US,1657878658
Dunedin,6.56,-45.8742,170.5036,78,100,3.58,NZ,1657878660
Ocós,24.58,14.5094,-92.1933,85,95,3.15,GT,1657878662
Čierna nad Tisou,26.39,48.417,22.0887,33,64,6.1,SK,1657878664
Evensk,17.34,61.95,159.2333,67,62,3.59,RU,1657878666
Meadow Lake,23.68,34.8014,-106.5436,39,41,2.38,US,1657878668
Lhokseumawe,29.39,5.1801,97.1507,65,76,2.75,ID,1657878671
